,pred
249,268743.0835723498
250,189997.0544214147
251,166842.56287051344
252,264645.3264729457
253,172930.9535728745
254,200197.85818874068
255,227182.01312878047
256,145286.77847781204
257,74797.29057348584
258,244810.66802766014
259,130742.4285182693
260,180570.4523735181
261,174356.46745030573
262,225400.81775526295
263,362764.8904450955
264,176704.39295904984
265,139158.29977537098
266,241884.00817693913
267,172191.00413371902
268,208943.58886052718
269,129851.44381298982
270,199110.90979630064
271,276336.3566861693
272,250555.65154026687
273,221515.57900925007
274,126867.55950330102
275,345347.127702701
276,110251.36199059263
277,308672.50110345875
278,158153.06442299607
279,167397.1362689626
280,169798.29285574352
281,177589.60479276473
282,178309.37881309396
283,256982.6150273145
284,221190.0920123505
285,187654.83714946508
286,187074.56551528283
287,161844.33400177068
288,217361.69399934652
289,192390.0830857105
290,185469.46610760156
291,229079.9470070186
292,290359.89352898614
293,152417.90855272266
294,404579.8278371288
295,239774.86831430122
296,230664.38007403948
297,154628.36587462167
298,275807.61916212435
299,100115.749192227
300,180555.04737894516
301,188510.648922926
302,198265.60473526723
303,100644.22934080956
304,194937.23249870053
305,214691.73073161865
306,170445.74098019127
307,148723.72546320868
308,201168.81310485947
309,212009.76970243367
310,272338.1272993338
311,183056.55393930688
312,449339.78292850236
313,215947.16133258247
314,127015.64780137913
315,186632.4141751672
316,246832.6816417052
317,140707.98486908263
318,139739.83739100513
319,107184.64018181556
320,175041.61739113517
321,115543.78232008016
322,110711.49392825212
323,180776.01636544734
324,186820.51734408282
325,120978.50281824313
326,225133.57715888188
327,196316.04651466088
328,148226.0514066584
329,187739.9917673265
330,120844.25989893882
331,181717.30287212526
332,224643.8353440803
333,129099.44396324352
334,283482.0014440108
335,173176.453360376
336,208921.52419497803
337,199951.19781126568
338,214351.57061208953
339,127139.12400161415
340,259219.79408232876
341,203717.83687498746
342,260636.08908336973
343,222331.79102350355
344,200886.01604201918
345,192330.74573276762
346,238635.05613093823
347,245982.91025057295
348,175396.58529395325
349,112248.75598716462
350,343213.7541109317
351,181625.74486437385
352,141939.76946930776
353,122707.90327653445
354,164548.4754513072
355,426044.02158187365
356,122230.1555253226
357,203341.2026590008
358,218925.61724049473
359,354817.4618734212
360,198179.6642726827
361,240158.76313369744
362,111821.01730715299
363,205938.56737399625
364,173642.38077242093
365,151397.9154479876
366,179954.8674763282
367,213882.33472935198
368,118130.81929316062
369,403610.0348200202
370,204394.97670946273
371,286289.71833601705
372,380351.11078451254
373,236529.48421280851
374,405732.28098574094
375,245021.8368753677
376,108888.56969023158
377,205189.2278803342
378,239759.63484961577
379,215215.39764361808
380,214262.29764814052
381,441757.5375135527
382,181164.75621473812
383,210472.97841572808
384,289418.2573166128
385,191626.48714918614
386,225319.48187588569
387,145039.0838659988
388,138748.38004858943
389,206231.09383168627
390,249226.27102668208
391,303013.5961988755
392,285400.34229922976
393,150306.59262940136
394,150455.30101504023
395,285514.10787392023
396,176260.0101410605
397,202668.4165418057
398,236934.32409225788
399,186062.5794238605
400,150143.53940053243
401,170527.26359795997
402,251467.15984177083
403,221781.04086627587
404,286442.1183034677
405,178223.74532644253
406,133813.72290704586
407,194804.72364459123
408,176259.10109995282
409,176848.43274546144
410,200034.71455749535
411,197593.37193339155
412,305745.657007695
413,201353.638351192
414,243858.0009254458
415,110944.91069093795
416,185334.08174079368
417,273496.385864214
418,155684.05005798495
419,163306.11732658008
420,182012.51993093253
421,208136.06935918995
422,155766.54813606912
423,400103.64922763495
424,335082.88358682813
425,309593.8626274072
426,191334.99543799006
427,172748.03123706728
428,167279.43720864656
429,163917.84395555692
430,282060.00912865484
431,364519.87186613865
432,171524.5330266597
433,314005.91148893547
434,148982.33250425497
435,155097.2596805653
436,331536.73643432924
437,155423.12967109855
438,173020.26479605373
439,208859.88756957
440,275658.5406185263
441,136182.47609692422
442,352490.7423347395
443,317516.2672241807
444,248440.62998834733
445,146381.45599429545
446,137479.03719474922
447,142818.51138039472
448,135913.49550317164
449,175065.75007861387
450,182711.14010865823
451,165362.95142934768
452,325489.37713133043
453,166715.77699991196
454,138191.6856172912
455,206585.33853301412
456,198471.6034382294
457,157869.7760172464
458,139488.96061741465
459,177218.30338776787
460,169069.0938621223
461,165005.96861694078
462,238639.95070520588
463,290495.6450777336
464,170170.66714511515
465,248947.56746233668
466,194867.05032662937
467,279776.8408664113
468,88944.21329940007
469,231606.19993360355
470,287317.1508043431
471,304015.12993874814
472,303049.7617042838
473,200745.2244474845
474,174777.88538024886
475,307890.7856230159
476,165641.78713126056
477,171389.6084910434
478,193005.87654975764
479,160114.35632288668
480,214841.89726801828
481,146679.77281458056
482,156504.96027224694
483,271493.5102324831
484,105360.01006960397
485,210649.67874714482
486,249767.27149480747
487,239763.5019402879
488,182483.50909086823
489,218001.89717041692
490,73178.27037487937
491,143921.69222009656
492,127885.09216449305
493,160280.57378305812
494,137703.00821013152
495,270412.7977711715
496,146143.55505214856
497,169240.9379275172
498,251145.27568535865
499,107759.94655905463
500,394704.1478995284
501,250392.88304563114
502,171746.97191314216
503,221826.42346721416
504,182874.14698195312
505,334421.4549994633
506,331150.3735179904
507,186293.20660560246
508,176241.36399480057
509,213631.40003357362
510,340431.796178157
511,252256.67822348254
512,234544.52271310237
513,288067.2288770217
514,72574.3364017545
515,262735.61003841687
516,368100.958491296
517,213133.30970250454
518,224749.2996738764
519,175867.05710747303
520,250750.73582939248
521,183272.28962466936
522,181894.62366012798
523,158709.69433660113
524,163221.87760515706
525,282319.649298127
526,225424.95604176936
527,309430.67959159066
528,253354.27160123282
529,173063.83519210617
530,233838.5506630206
531,361905.9654571276
532,175800.90750904215
533,379213.50727955037
534,180943.28051476704
535,95170.25744906295
536,212241.40835277698
537,189017.78633308725
538,161702.41052706918
539,149418.93906067387
540,110324.05478460592
541,164373.88523043742
542,232953.45212798292
543,167079.33842567995
544,165987.3356799817
545,120054.96890848702
546,184151.29227852362
547,262922.08349939535
548,191175.00301599293
549,174893.17945374973
550,244585.92554537224
551,187688.91469377093
552,145878.75765514697
553,129896.77735194661
554,169621.63679802482
555,189312.67875153254
556,166850.85252178265
557,184484.71952692536
558,217893.66367826326
559,88464.98539013078
560,367939.57354537083
561,158746.7907822729
562,284625.0405328009
563,133978.13517081153
564,159321.72795219882
565,282841.09633861855
566,380629.9701268138
567,179094.1619330505
568,141537.54351405174
569,281255.1170987785
570,490320.8273464842
571,180072.30785517686
572,101041.26542137538
573,205136.21112163845
574,286404.5771605379
575,379615.3766157246
576,181489.34720720217
577,318473.084330071
578,171666.93124374168
579,138599.53718156397
580,338214.93389478314
581,247411.00700502985
582,488621.22803794005
583,368935.7482598254
584,329153.5358459282
585,260337.96721494733
586,182753.48857362955
587,467420.70856365946
588,181676.75992598585
589,334232.6886975183
590,213837.85241458233
591,169657.43511447177
592,207600.1144031342
593,237172.92453160378
594,316828.56748234417
595,180548.99721600107
596,195478.42199131998
597,266756.33617394214
598,112193.7574373353
599,288371.05212894914
600,176060.4264125285
601,195792.94127346814
602,157225.24121842676
603,217998.52268509942
604,222452.46410731564
605,186584.01829084763
606,206390.19497136897
607,187128.50694419918
608,190000.47413007164
609,174459.92855424978
610,216392.4105147448
611,235470.68978746072
612,155934.01519257133
613,319600.48295330897
614,442001.6294018661
615,187173.98178511532
616,221887.3114491403
617,226385.55366888465
618,139155.17441624228
619,109999.26424387506
620,270968.73954548856
621,230776.09852494235
622,227646.97634313485
623,200198.78173489607
624,238745.56272104135
625,159413.6260672037
626,183997.03946550132
627,222219.49214476964
628,296544.5984670316
629,177289.5709463236
630,193134.12084161973
631,191818.59343199807
632,255154.50718089068
633,200563.66533496848
634,182626.23279311537
635,217403.8441684785
636,152894.89316799943
637,258945.013732215
638,183988.81754760628
639,327914.32908134855
640,199532.58537235524
641,174189.13662792073
642,149830.50388642313
643,200730.80258236584
644,481806.7623290859
645,203635.15465296272
646,318399.73084067384
647,153666.52602158143
648,338439.0196192679
649,334367.076476662
650,223795.20335563066
651,255071.0935895837
652,211686.62390991126
653,156622.41139105428
654,428516.11374350387
655,254377.0048261193
656,142981.6653727715
657,252502.3953292862
658,294835.1478337065
659,252485.51389377224
660,210898.6513012922
661,240517.22696932722
662,263659.4488055249
663,169460.57201778915
664,126546.0138734704
665,153464.7235529616
666,180113.59452532273
667,180178.41813448188
668,226884.6733112007
669,74321.9949442128
670,125411.06600871518
671,389631.70639691595
672,272513.3861436296
673,287944.6006630468
674,128150.48848285158
675,276144.1003939164
676,287533.03943072865
677,169918.04675735667
678,75681.39937516466
679,285579.75359208015
680,268146.25872087013
681,185537.35756440274
682,157943.94275158105
683,162794.8135510023
684,185840.48852205247
685,290560.65816333104
686,188450.95848725524
687,265261.04639965086
688,228479.0578123863
689,145537.13085450776
690,223472.50142719533
691,204308.67557239824
692,145736.0410055746
693,244957.97145780665
694,188354.5978248221
695,156257.541377026
696,232845.12708910674
697,162315.14915314355
698,159675.2927289189
699,107031.52010945551
700,202128.4976993163
701,198909.7986272612
702,199413.01452209763
703,496712.52078919794
704,203969.60428521255
705,231513.3960241346
706,234195.8059003187
707,221261.5374173037
708,281182.0446855348
709,118858.34961420245
710,481450.8525714687
711,252222.16114502898
712,173025.6355190129
713,249529.50237801982
714,107243.86040608388
715,407887.6579841458
716,368893.2773523137
717,139108.40565753385
718,119211.02707188154
719,223896.23323550913
720,410266.5511205547
721,129784.1903557429
722,152410.94116572692
723,345214.3305024511
724,150880.54672244407
725,189991.2110332466
726,125943.57856600502
727,284327.1005824651
728,484586.50998977444
729,143615.6850810834
730,184504.94660779796
731,157450.73836626494
732,224085.74571468725
733,197048.54555403104
734,248435.00457307402
735,147391.76236363352
736,180967.98533705997
737,169244.74322571175
738,475892.41375496524
739,184143.71353416267
740,155597.27811183498
741,270765.6300218081
742,120924.37352325357
743,127417.54942973083
744,244243.01417389265
745,165867.13611222105
746,172310.17167460476
747,238999.1737962925
748,102006.96069020909
749,135429.30033711018
750,123191.24070985112
751,306357.65437323897
752,201715.3490989641
753,157824.83937931724
754,236350.06802872277
755,204254.254622156
756,303436.02977058984
757,75340.17459900204
758,148191.10737816777
759,238646.67821992328
760,327677.1051792437
761,285770.04835008364
762,144317.087753178
763,145297.8342063253
764,266640.68645199103
765,171793.9353614419
766,177568.92722308615
767,221943.5947172736
768,194646.8831104951
769,209402.16102089142
770,407330.4693798526
771,371503.82534407143
772,154471.7641805078
773,180442.4109190802
774,338458.0255917408
775,172360.91019575275
776,365480.00518440566
777,490018.66121489485
778,169476.32022903906
779,195860.5080778407
780,162276.08271875477
781,141107.60338739844
782,255996.29884499015
783,259842.40607085492
784,150082.35327371565
785,222198.73283879727
786,198571.78654760672
787,264463.3998936629
788,242548.1326132835
789,139208.91041710286
790,165162.07853914387
791,157015.68144694617
792,181301.13950449027
793,171798.1465341536
794,165938.12111479312
795,205623.89680270985
796,181381.09016483754
797,484604.23656061053
798,202842.38039999714
799,172552.63172300634
800,164462.80807822652
801,127908.57215914338
802,330054.04533585464
803,235853.61132019054
804,179417.33433766852
805,172766.83245266633
806,177050.50062214717
807,142354.10761090627
808,154059.98181660808
809,187151.4941706425
810,202488.79164649523
811,289684.8860484207
812,96758.81983641532
813,213803.0575839943
814,162996.080928061
815,180241.86511339605
816,335292.74165031355
817,184676.09773248885
818,179549.74910618595
819,212232.02574428357
820,356031.3260947023
821,192570.6750150809
822,135770.30351057823
823,150059.35593035922
824,146792.47654899012
825,388898.27093046106
826,189510.2496184755
827,69644.14551519389
828,200827.6234075121
829,204879.12402606182
830,145316.5686424066
831,177492.1017951964
832,356057.2099359119
833,259891.4799100748
834,152991.7871362291
835,144681.64629657
836,148383.53303909054
837,149016.68698717796
838,468157.49671854684
839,171978.82252806664
840,161275.31137349922
841,309199.94704803376
842,239838.8645768101
843,171483.12910767936
844,373132.12893235777
845,127730.33018755735
846,149083.9636241439
847,69985.12971784524
848,136568.4806469446
849,245308.9447159652
850,271530.1568167588
851,182638.12276222324
852,246449.52866949746
853,230140.28318488383
854,234145.70707818438
855,179725.3349609247
856,260300.8353503191
857,142366.48283979093
858,144534.42251986184
859,130134.37360164111
860,481779.77385381766
861,236899.49088480906
862,197856.7550277488
863,176117.3515780456
864,149853.18239400466
865,189041.82473208397
866,315019.4260092168
867,180263.10211457976
868,312552.89166463655
869,206363.57734583155
870,279021.18338593683
871,175804.79106320225
872,242260.800565133
873,219352.0843620592
874,182914.08960363956
875,249312.4413614277
876,176652.27552396856
877,248758.18440629108
878,183966.79727822417
879,213988.04201655532
880,197281.75364497225
881,226589.2012785919
882,149396.37959874002
883,200067.66785041787
884,220759.06940464047
885,241391.62312942848
886,138384.31249368037
887,189854.5598141858
888,233626.65652080684
889,153425.25402678477
890,178815.68057644003
891,218176.746586253
892,229334.38444912498
893,182805.62692958018
894,153925.58183260652
895,312586.64054828975
896,151768.4716325386
897,161272.2308183508
898,182870.21934998414
899,342783.99836854154
900,239788.56890159746
901,180813.70442081912
902,104782.49285543534
903,160945.03026298937
904,237130.43985550146
905,431968.04706837994
906,266167.2545673192
907,233249.77335065228
908,170020.97643021995
909,261041.03744341352
910,179774.49456012194
911,200986.99249779957
912,399587.7297538049
913,129823.2811446381
914,200989.85293640775
915,195173.56483987122
916,285375.7930933317
917,330959.7359617598
918,148208.29751946434
919,218431.81405626604
920,181639.8439210868
921,197096.56534359767
922,222720.52900351275
923,103785.45706083658
924,254201.96955996178
925,213012.41778147273
926,177572.95971116069
927,237450.44897183045
928,387838.0273700394
929,461257.2606976483
930,177840.5513993814
931,249718.44590395788
932,189252.9198006021
933,146656.0842239272
934,239071.7272123494
935,217679.01569313323
936,228142.34818973462
937,231549.49349138018
938,172174.94025653068
939,88122.83368410899
940,169918.6268843594
941,286492.18700781016
942,197470.79773032374
943,148113.33516155355
944,333272.67688446323
945,167608.7375404039
946,318907.1246347679
947,219041.75343179147
948,90645.99726917197
949,150573.12732941852
950,203326.4587341083
951,175053.45485014297
952,349593.74947200576
953,184474.23581963795
954,103477.36670700698
955,202952.29013305993
956,440636.48257313424
957,274406.27531638806
958,119036.40824178803
959,310298.7999963813
960,306840.51901886007
961,246048.218576539
962,180139.61052378287
963,405746.34631442407
964,262299.8326148275
965,175943.3752519304
966,243951.28470472622
967,155994.62387759666
968,267499.09003904037
969,315355.78736994864
970,200213.39218114514
971,188868.7683633032
972,175948.37099413236
973,179854.69484402434
974,172686.6764782499
975,288088.05887255643
976,195095.01637476182
977,155920.94045475606
978,347955.7656870967
979,181524.64532883582
980,106510.1484174967
981,232537.5285092849
982,172304.02864712093
983,214475.16082709114
984,313020.2279288794
985,176136.32104249008
986,114569.47211301295
987,269839.32147500233
988,125950.38748144732
989,158832.43548764166
990,440416.1611819727
991,228757.35763191507
992,251775.23772246588
993,175179.47877623723
994,423256.3748767866
995,395308.4311494192
996,111648.39288275015
997,162686.93590001657
998,177982.9698849191
999,216459.0619803104
1000,202918.3324512381
1001,100562.63769692644
1002,143187.6169322537
1003,184140.5661235356
1004,377207.1706706912
1005,126743.79876461708
1006,273868.35469182517
1007,331333.2223454521
1008,212006.04670902147
1009,211483.1428238909
1010,433679.00630950753
1011,253241.0132857941
1012,230889.32474971932
1013,234078.85929918918
1014,100444.267941725
1015,281180.59554520255
1016,208420.86611707485
1017,405627.27729059523
1018,319031.3994234749
1019,361784.3287421453
1020,217670.32590379252
1021,198072.93214025098
1022,276660.03436525876
1023,75374.29239874617
1024,354009.34748541267
1025,170772.17966346393
1026,151724.368340397
1027,316655.1407196128
1028,211948.7077749704
1029,136176.4027878847
1030,119126.50436246333
1031,223761.72587607682
1032,215309.32062479877
1033,253930.37733976744
1034,126580.390338187
1035,251893.68255584274
1036,217492.4354419226
1037,189914.8893023378
1038,210844.76455231206
1039,403942.7926770008
1040,382737.1416854297
1041,150270.62683351504
1042,174228.50017491824
1043,188701.61134872027
1044,278787.5460353998
1045,193150.8102120509
1046,189486.36918423514
1047,197167.51927103335
1048,213411.43738264235
1049,214505.78266178598
1050,292376.4457929296
1051,170919.18564007335
1052,182182.7768168186
1053,160134.26366310162
1054,127678.3513944144
1055,233936.061279455
1056,127953.80825781319
1057,254937.46586736626
1058,190838.39417959526
1059,178647.26361123347
1060,176921.72609795647
1061,165611.275167002
1062,238075.32964509766
1063,163769.18479713483
1064,348349.0180311039
1065,179526.04236460928
1066,194450.06413943178
1067,197519.19879423885
1068,232327.82644999042
1069,339506.1814360441
1070,154532.4385817787
1071,92078.29117822245
1072,233903.19747392795
1073,198899.75330791695
1074,329114.9145278564
1075,372033.3161243902
1076,186870.4985715343
1077,233959.10635085288
1078,147195.8952823827
1079,199211.63265045147
1080,178562.42101446018
1081,287217.04138631583
1082,173354.9889386556
1083,145432.49221894203
1084,170068.9122337835
1085,269411.643830475
1086,138040.14162704552
1087,425093.5141256633
1088,230471.57554095096
1089,90230.91879352879
1090,133331.44666575422
1091,227670.68445691225
1092,201477.3149402435
1093,243387.60131317118
1094,234261.56162120003
1095,274221.25017043727
1096,126597.38274443701
1097,232606.40445723114
1098,437501.00714171975
1099,263932.53051589127
1100,127476.19446428244
1101,121827.06213752803
1102,154479.91383579755
1103,212544.86794358797
1104,191632.62860827358
1105,249685.85654215963
1106,204233.24143436734
1107,216928.29900905924
1108,194700.0842880848
1109,187133.95516984095
1110,199209.73135174756
1111,100264.72756640155
1112,370636.43203097023
1113,99088.71037529795
1114,493703.8739909409
1115,228587.31880198995
1116,259426.23469343607
1117,252986.9245208099
1118,246721.40948622045
1119,347954.4722280498
1120,289077.91218110063
1121,316560.00027198024
1122,168162.48093115733
1123,269102.90224153444
1124,181628.95748931798
1125,176812.82677577937
1126,136518.67655487172
1127,136360.29683716112
1128,329834.2778755651
1129,305933.7601029169
1130,170902.51149836145
1131,137947.74735858903
1132,192335.03266194044
1133,135996.57275223176
1134,200845.5186149668
1135,155090.45629355632
1136,210162.5201057207
1137,253180.9901160047
1138,254553.56207278112
1139,168663.06494935532
1140,128992.2941552146
1141,268481.90927232796
1142,239487.25600845797
1143,183647.4093556428
1144,115613.47577576764
1145,169114.60443938323
1146,174433.68546424244
1147,206313.8035184113
1148,303958.7488889406
1149,214259.00990027035
1150,200467.59806130908
1151,166976.3512576356
1152,157691.0599205033
1153,346912.8698572426
1154,173084.12293157063
1155,177980.9298063184
1156,77001.84938144099
1157,343762.96296529815
1158,243613.64782305693
1159,180347.77972586398
1160,141493.29438355847
1161,265733.93158591964
1162,191285.25807313307
1163,369884.0649897155
1164,297344.6065486925
1165,148117.84036604644
1166,196738.28706981477
1167,193150.37366713214
1168,262641.5952287072
1169,383917.84655000793
1170,204754.18719142323
1171,203280.44338542887
1172,277237.37970918365
1173,160270.87251510835
1174,220132.84814433625
1175,296365.36935298936
1176,200737.50898143943
1177,89626.04633321123
1178,267841.8182836313
1179,182238.1414459505
1180,208461.08431022803
1181,195416.8640155677
1182,324108.44052962173
1183,100856.23333407915
1184,281836.56847355096
1185,146268.35634258905
1186,244802.8706529538
1187,278845.0354568661
1188,240098.7544991565
1189,174012.71357300133
1190,181274.3910720963
1191,238460.95250915913
1192,246489.98526124886
1193,174961.4014253066
1194,139870.2780639345
1195,184259.3123539313
1196,169424.20044817298
1197,128466.03566488379
1198,279181.7711879765
1199,140730.69698578047
1200,108811.24305297664
1201,389059.8759578639
1202,171795.37590507726
1203,218463.39845272744
1204,307024.10069202894
1205,166388.26520637632
1206,231576.80139156844
1207,178128.8524337523
1208,195210.94707794546
1209,224836.69899233495
1210,191606.88990345475
1211,156928.7740328242
1212,180573.40219011885
1213,258312.56125867303
1214,174833.95346152727
1215,191596.52928226354
1216,139778.93231177644
1217,119918.32759141563
1218,256428.86141252177
1219,205868.25467056403
1220,151754.75232971177
1221,297073.5120335616
1222,203704.82063192155
1223,169041.8933737389
1224,98400.69540242711
1225,180647.7933054204
1226,245927.4159961338
1227,217821.65136764807
1228,221891.3604487926
1229,195354.70667235198
1230,268741.245836668
1231,273805.1618812748
1232,205107.77301727288
1233,133605.36058170238
1234,347396.93250134814
1235,181195.91751626306
1236,205497.5204797952
1237,201116.39552288767
1238,171480.92877270884
1239,178814.8833751561
1240,381742.19935879094
1241,123138.86324153708
1242,214926.0834065453
1243,255201.62640406672
1244,174042.6089990331
1245,318134.5305035283
1246,177750.13069474162
1247,170955.4922134998
1248,152910.2180723747
1249,366986.80595896364
1250,370748.9966590327
1251,224701.13028803174
1252,175339.13621950767
1253,452669.0849142833
1254,123184.22591622715
1255,199407.05373516135
1256,170577.48794272056
1257,192691.70813273263
1258,142421.64097667395
1259,218789.01463192725
1260,134672.7927865208
1261,144242.29454798356
1262,281382.1488317272
1263,223704.1753046925
1264,235217.77598777995
1265,119699.90225208673
1266,231313.7196397474
1267,447750.22273132426
1268,262019.51254310957
1269,319988.8966897328
1270,162392.25545675275
1271,106031.63128174111
1272,238785.81079918152
1273,180872.14234236348
1274,169287.53174382448
1275,227829.23711167127
1276,186058.54610799273
1277,200190.25607159888
1278,215595.7650663461
1279,308031.8695756639
1280,268884.03159819794
1281,152234.42193090418
1282,302032.0588899895
1283,113201.06131581937
1284,183249.53551552715
1285,202231.47021845053
1286,127955.28035715477
1287,176227.2270993186
1288,207282.15283928672
1289,212569.49934765673
1290,218321.87563618898
1291,128514.53580710078
1292,120884.69779742807
1293,179242.49805836382
1294,142805.8247354043
1295,284665.53230383276
1296,221263.0899652765
1297,209396.42546338003
1298,167336.53958515756
1299,210312.7720543504
1300,327642.87012582604
1301,389603.77750731487
1302,217986.03800270625
1303,131173.3677203814
1304,236385.19480197545
1305,269602.91887771024
1306,177512.08727009644
1307,74321.9949442128
1308,123410.64300086156
1309,424605.40611982817
1310,178170.6345292132
1311,221468.28101425816
1312,212919.75801879834
1313,462246.8106967397
1314,169446.77308692335
1315,133153.38391900584
1316,365145.3031740187
1317,249846.22456817242
1318,283978.1376738042
1319,196290.86480699384
1320,120880.6858967686
1321,168831.28509327327
1322,178634.96686336613
1323,272775.84524824045
1324,230747.99051082312
1325,142951.4545853315
1326,176152.90936942503
1327,359100.5837271016
1328,296354.0118470638
1329,160644.5483276355
1330,233397.8955910434
1331,273958.55490433483
1332,210927.79262986136
1333,140042.89096740054
1334,210028.69619850436
1335,168038.3948175324
1336,223232.82572468804
1337,150836.11382434293
1338,118734.49812850966
1339,256607.9692678938
1340,396630.8503088907
1341,185845.94604862953
1342,341425.97694887704
1343,208912.57043255848
1344,243375.97064022027
1345,109653.32981466904
1346,167377.53823270855
1347,125942.82859441724
1348,152355.09428131345
1349,134503.87935263116
1350,222630.2762054383
1351,181706.0495382133
1352,253722.26475115595
1353,135995.16401529082
1354,324864.52536504506
1355,200562.32152269475
1356,213188.89678614042
1357,494385.64247933327
1358,359993.23770452256
1359,188415.78359083665
1360,308349.49030417844
1361,125080.75786758204
1362,182043.69684845145
1363,306791.890141529
1364,190820.54066491904
1365,105942.84570027307
